genes,name,source,SystemsTerm,NonSystemsTerm,Systems_Publications,Cancer_Publications,MutationNumber,GeneNumber
RASGRP2|STIM1|RASGRP1|SLC7A7|HLA-A|RASSF5|RAP1A|IKBKB|PRKCQ|PLCG1|ORAI1|IKBKG|CD247|FABP9|MAP3K8|VTRNA2-1|TRAF6|CD80|NRAS|FYN|CD86|GRAP2|ZAP70|PAG1|MAP3K14|TRPV6|HRAS|MALT1|CD28|SHC1|CSK|PRKCA|CARD11|PRKCB|PRKCE|CHUK|DAG1|CD8A|LCP2|CD8B|PTPN6|KRAS|SOS1|AKT1|BCL10|VAV2|B2M|CD3E|GRB2|PTPRC|PDPK1|CD3D|LCK|CD3G,TCR signaling in naive CD8 T cells,PID,"((TCR AND CD8) AND cancer) AND (""systems biology"" OR computational)",((TCR AND CD8) AND cancer),15,2407,724,54
MKNK1|MAPK14|MAPK11|MITF|MAPKAPK5|KRT8|MAPKAPK3|MAPKAPK2|CEBPB|SLC9A1|JUN|PPARGC1A|USF1|DDIT3|RAB5A|HSPB1|CREB1|TP53|PLA2G4A|GDI1|EIF4E3|RPS6KA4|RPS6KA5|ESR1|NANOS2|HBP1|MEF2C|MEF2A|PACERR|EIF4EBP1|GDNF|ELK4|ATF6|KRT19|ATF2,Signaling mediated by p38-alpha and p38-beta,PID,"((p38 alpha OR p38 beta) AND cancer) AND (""systems biology"" OR computational)",((p38 alpha OR p38 beta) AND cancer),20,2357,538,35
PDGFRA|CRKL|PLCG1|RAPGEF1|CRK|CAV3|CAV1|PIK3CA|JUN|ELK1|PIK3R1|JAK1|SHC1|FOS|SHB|SHF|CSNK2A1|SOS1|ITGAV|PRRT2|GRB2|SPATA6,PDGFR-alpha signaling pathway,PID,"(PDGFR alpha AND cancer) AND (""systems biology"" OR computational)",(PDGFR alpha AND cancer),26,2329,240,22
NCOA2|NCOA3|NCOA1|SMARCB1|UBE2M|NR0B2|NR0B1|DDX54|NEDD8|MAGEC3|SMARCE1|ZNF14|ESR2|SMARCA4|UBA3,Validated nuclear estrogen receptor beta network,PID,"(""estrogen receptor beta"" AND cancer) AND (""systems biology"" OR computational)","(""estrogen receptor beta"" AND cancer)",23,2284,209,15
PLCG1|FBXW11|SH2D2A|IQGAP1|PTPN6|GAB1|MAP2K3|MAP2K2|MAP2K1|PTK2|VTRNA2-1|DNM2|MYOF|FLT1|NCOA3|CALM2|CALM3|NEDD4L|PIK3CA|FYN|MAPKAPK2|HSP90AB1|MAPK3|PTK2B|MAPK1|MAPK11|PXN|PIK3R1|ARF1P1|CAV1|CDH5|KDR|ITGB3|PRKCA|CTNNB1|PRKCB|VCL|PRKCD|VTN|SHB|VEGFA|DAG1|HSP90AA1|PTPN2|RHOA|CTNNA1|AKAP1|MAPK14|NCK1|NCK2|AKT1|MAP2K6|GRB10|NANOS3|PTPN11|ROCK1|ITGAV|CAMKK2|GRB2|PRKACA|BRAF|FES|PDPK1|PTPRJ|PAK2|CDC42,Signaling events mediated by VEGFR1 and VEGFR2,PID,"((VEGFR1 OR VEGFR2) AND cancer) AND (""systems biology"" OR computational)",((VEGFR1 OR VEGFR2) AND cancer),57,2237,727,66
ACTA1|NFKBIA|ILK|PTK2B|ITGAV|GSN|PIK3CA|MAP3K1|JUN|DEFB119|MAPK3|MAPK1|PIK3R1|NFKB1|MAPK8|RNASE1|ITGB3|FOS|CD44|CHUK|PLAU|RHOA|BCAR1|SYK|PIP5K1A|MAP3K14|ROCK2|SPP1|MMP2|VAV3|CDC42,Osteopontin-mediated events,PID,"(osteopontin AND cancer) AND (""systems biology"" OR computational)",(osteopontin AND cancer),30,2171,314,31
PPP2R1A|RAD17|RAD1|CLSPN|PLK1|RFC4|RAD9A|RFC3|RFC2|FANCD2|ATRIP|CDC6|YWHAZ|CEP164|SERPINA2|CCNA2|TIPIN|HUS1|TIMELESS|RFC5|NBN|YWHAB|CHEK1|BRCA2|CDC25C|CDC25A|PPP2R2B|MCM7|MDM2|SMARCAL1|TOPBP1|PPP2CA|RPA1|RPA2|CDK2|RAD51,ATR signaling pathway,PID,"(ATR AND cancer) AND (""systems biology"" OR computational)",(ATR AND cancer),48,2117,282,36
PTPN11|PTK2|COL11A1|MFGE8|CDKN1B|IGF1R|CSF1|AKT1|PTK2B|VTRNA2-1|COL3A1|COL5A1|COL2A1|PI4KB|NCOA3|COL11A2|COL4A5|PIK3CA|CSF1R|TLN1|MAPK3|MAPK1|PXN|PIK3R1|SPP1|KDR|RNASE1|TGFBR2|ITGB3|IGF1|RPS6KB1|COL1A2|VCL|ILK|COL5A2|COL4A6|PIK3C2A|COL4A4|COL4A3|COL4A2|COL4A1|PI4KA|RHOA|VTN|BCAR1|FGF2|F11R|VEGFA|COL7A1|FN1|SDC1|EDIL3|ROCK1|IRS1|ITGAV|ADGRA2|ANGPTL3|COL1A1|COL6A1|HSP90AA1|COL6A3|COL6A2|COL6A5|VAV3|COL6A6,Integrins in angiogenesis,PID,"((integrin AND angiogenesis) AND cancer) AND (""systems biology"" OR computational)",((integrin AND angiogenesis) AND cancer),12,2094,1562,65
MAP4K1|RASGRP2|RASGRP1|STIM1|SLC7A7|HRAS|GAB2|RAP1A|IKBKB|AKT1|PLCG1|CD28|IKBKG|SH3BP2|PTENP1|STK39|CD247|FYB|HLA-DRA|VTRNA2-1|TRAF6|CD80|NCK1|SLA2|CD86|GRAP2|ZAP70|ORAI1|PAG1|MAP3K14|TRPV6|MALT1|HLA-DRB1|SHC1|CSK|PRKCA|RASSF5|CARD11|PRKCB|PRKCE|CHUK|DAG1|PDPK1|PRKCQ|LCP2|DBNL|WAS|PTPN6|KRAS|FYN|CD4|MAP3K8|INPP5D|ITK|SOS1|PTPN11|VAV2|CD3E|GRB2|PTPRC|NRAS|FLNA|CD3G|CD3D|LCK|BCL10|CDC42,TCR signaling in naive CD4 T cells,PID,"((TCR AND CD4) AND cancer) AND (""systems biology"" OR computational)",((TCR AND CD4) AND cancer),9,2041,882,67
SMAD9|SMAD4|SMAD5|SMAD6|C3CER1|SMAD1|BMPR1A|XIAP|GREM1|FST|AHSG|RGMB|RGMA|SMURF1|SMURF2|SOSTDC1|SKI|HFE2|ZFYVE16|MAP3K7|MAPK1|NUP214|CTDSP1|CTDSP2|CTDSPL|SMAD7|CHRDL1|BAMBI|BMP2|BMP7|BMP6|BMP4|PPM1A|PPP1CA|TAB2|TAB1|NOG|BMPR1B|PPP1R15A|CHRD|BMPR2,BMP receptor signaling,PID,"(BMP AND cancer) AND (""systems biology"" OR computational)",(BMP AND cancer),45,2011,327,41
RAB4A|FYN|BRK1|REXO2|RAPGEF1|PTENP1|PIK3CA|PIK3CB|FGR|PIK3CG|MYC|RNASE1|RAB5A|SHC1|PPP2R2B|KRAS|PPP2CA|GRB10|PTPN11|GRB2|ARPC1B|YWHAE|PAK1|ACTA2|AFDN|HRAS|PDGFB|DOCK4|GAB1|DNM2|CRK|NCKAP1|SPATA6|JUN|PIK3R6|ELK1|JAK2|PIK3R1|KSR1|CSK|FOS|ARPC3|ARPC2|ARPC5|ARPC4|BLK|HCK|RHOA|RPS6KA3|VAV2|ITGAV|PDZD2|BAIAP2|ACTR3|ACTR2|PDGFRB|PAG1|RAP1B|RAP1A|MAPK10|VTRNA2-1|PTPN2|ABL1|PTPN1|NCOA3|STAT3|STAT1|WASF2|S1PR1|RASA1|MAPK3|MAPK1|SIPA1|MAPK8|MAPK9|LYN|SOS1|EIF2AK2|PLCG1|STAT5B|STAT5A|MYOCD|PPP2R1A|SPHK1|CYFIP2|JUND|MAP2K2|MAP2K1|MAP2K7|WASL|EPS8|MAP2K4|C1D|IQGAP1|YES1|YWHAZ|ARAP1|SLC9A3R2|SLC9A3R1|YWHAQ|NRAS|YWHAH|DOK1|ARHGDIA|YWHAB|USP6NL|YWHAG|ARHGAP35|ITGB3|PRKCA|PRKCE|PRKCD|SLA|TAGLN|NCK1|NCK2|ACTN4|ABI1|LCK|BRAF|PTPRJ,PDGFR-beta signaling pathway,PID,"(PDGFR beta AND cancer) AND (""systems biology"" OR computational)",(PDGFR beta AND cancer),21,1935,1227,121
BCL2L1|CRKL|HRAS|RAP1A|GAB1|MAPK14|PLCG2|PLCG1|VTRNA2-1|TIMP1|STAT1|TEC|PTPN6|JAK2|PIK3R1|NFKB1|LYN|SHC1|SH2B3|RAPGEF1|MAPK8|EPOR|INPP5D|SOS1|SOCS3|PTPN11|VAV2|IRS2|STAT5B|STAT5A|GRB2|BTK|BCL2,EPO signaling pathway,PID,"(EPO AND cancer) AND (""systems biology"" OR computational)",(EPO AND cancer),23,1928,275,33
ELANE|HSPA5|ZFPM1|CD34|HIPK2|MAP3K7|LYZ|GATA3|MYC|MYB|PRTN3|CDKN2A|TRIM28|SLC25A3|HSPA8|ATP2B1|KITLG|C21orf33|KRAS|CCND1|LECT2|H2AFZ|KIT|YEATS4|MAF|PSG1|CDKN1B|CDKN1A|CLTA|SKI|ADORA2B|NLK|TFEC|RAG2|PTCRA|UBE2I|PAX5|MPO|ANPEP|CREBBP|GATA1|ZFHX3|CD4|CBX4|NCOR1|SPI1|CSF1R|HRAS|SND1|ADA|LEF1|EP300|GSTM1|WNT1|PIAS3|COL1A2|CDK6|PPID|CA1|MYF6|TOM1|BIRC3|SMARCA2|IQGAP1|CEBPB|CEBPA|MYOD1|CCNA1|MAD1L1|NRAS|TRDC|ETS2|ETS1|SIN3A|COPA|MAT2A|PIM1|MCM4|PPP3CA|CASP6|CCNB1|TAB2|TAB1|CEBPD|PACERR|SLC1A5|BCL2,C-MYB transcription factor network,PID,"(MYB AND cancer) AND (""systems biology"" OR computational)",(MYB AND cancer),48,1903,1004,87
PLPP1|APC|LIMK2|PLD1|HRAS|LIMK1|MAP2K3|HES5|MYL2|WASL|EPS8|MAP2K4|IQGAP1|YES1|SEPT2|DLG1|NCOA3|VTRNA2-1|MAPK3|ARHGEF6|PIK3CA|MAP3K1|JUN|PARD6A|TIAM1|CTNNB1|MAPK1|CDC42BPA|PIK3R1|ARHGDIA|CDH1|MAPK8|IQGAP3|ENAH|PAK1|RNASE1|DIAPH3|ARPC3|ARPC2|PRKCE|RPS6KB1|ARPC5|ARPC4|MAPK14|PAX6|MTOR|CFL1|BAIAP2|BCAR1|CTNNA1|EXOC7|TNK2|MAPK9|RASGRF1|MAP2K6|ARPC1B|F2RL2|VAV2|GSK3B|MAP3K11|PRKCZ|BRAF|ARHGEF7|PAK4|MAP2K7|CDC42|ACTR3|ACTR2|PAK2|ATF2,CDC42 signaling events,PID,"(""Cdc42"" AND cancer) AND (""systems biology"" OR computational)","(""Cdc42"" AND cancer)",35,1855,747,70
WNT3A|CTNNB1|KLHL12|NKD2|LRP6|AXIN1|DVL1P1|CUL3|GRK5|GSK3A|RNU6-664P|DVL2|DVL3|CSNK1G1|PI4K2A|PIP5K1B|APC|GSK3B|PPP2R5A|RANBP3|CAV1,Canonical Wnt signaling pathway,PID,"((WNT AND canonical) AND cancer) AND (""systems biology"" OR computational)",((WNT AND canonical) AND cancer),48,1795,206,21
WWTR1|YAP1|MOB1B|LATS2|MOB1A|ACTB|LATS1|CSNK1E|STK3|STK4|SAV1|RASSF1|TAOK|CDH1|CTNNA1|TJP2|CSNK1D|YWHAZ|TEAD|BRTC|AMOT|MPP5|INADL|LIN7C,Hippo Signaling,Signor,"(hippo AND cancer) AND (""systems biology"" OR computational)",(hippo AND cancer),89,1779,185,24
HSF1|FBXO45|RACK1|WWOX|ITCH|PLK1|CDKN1A|ADA|BAX|FOXO3|CLCA2|CDK1|REXO2|MAPK11|ABL1|BUB1|BBC3|BIN1|SERPINE1|MAPK14|AEN|RCHY1|SERPINA1|CCNA2|NEDD4L|CCNE2|AFP|TUBA1A|CCNE1|NTRK1|RB1|DEFB119|PEA15|TP53AIP1|FASN|RAD51|JAK1|JAG2|MYC|GATA1|PLK3|CHEK1|PLPP1|SIRT1|BRCA2|PFDN5|IL4R|BUB3|TP63|GRAMD4|RNF43|CDK2|TP53I3|GDF15|PML|WT1-AS|IL1RAP|BCL2L11|MDM2|EP300|HEY2|DEDD|YAP1|UBE4B|CCNB1|CASP2|KAT5|TP73|BAK1|DCP1B|HAGH|NDUFS2|FAS|CDK6|PDZD2|FLOT2|PRKACB|S100A2|PSG1,p73 transcription factor network,PID,"(p73 AND cancer) AND (""systems biology"" OR computational)",(p73 AND cancer),24,1712,673,79
STMN1|BIRC5|DES|TACC1|CBX5|SEPT1|KIF2C|PEBP1|RACGAP1|NDC80|SMC4|PSMA3|H3F3B|AURKB|EVI5|CDCA8|AURKA|INCENP|KLHL13|BUB1|H3F3A|AURKC|CENPA|PPP2R5D|NCAPD2|RHOA|NPM1|RASA1|KLHL9|PPP1CC|RAB33B|DNAJC5|SGO1|NSUN2|MYLK|KIF23|VIM|NCAPH|NCAPG|CUL3|KIF20A,Aurora B signaling,PID,"(Aurora B AND cancer) AND (""systems biology"" OR computational)",(Aurora B AND cancer),47,1698,316,41
BCL2L1|TNFSF10|NUMA1|SPTAN1|LIMK1|BIRC3|BAX|CASP10|AKT1|XIAP|ACTA1|DIABLO|CYCS|BCL2|PIDD1|CRADD|GSN|LTBR|PLCG1-AS1|TANK|TFAP2A|FAS|BID|MAP3K1|FYN|TRADD|KRT18|RIPK1|ARHGDIB|FADD|APAF1|ETFA|CASP6|APPBP2|TNFRSF10B|DFFA|DFFB|PARP1|FASLG|PRF1|LMNA|VIM|LMNB2|CASP7|LMNB1|CASP2|CASP3|GZMB|TNFRSF1A|TNFRSF10A|CASP8|CASP9|SREBF1|GAS2|CFL2,Caspase Cascade in Apoptosis,PID,"((caspase cascade AND apoptosis) AND cancer) AND (""systems biology"" OR computational)",((caspase cascade AND apoptosis) AND cancer),4,1649,352,55
TACC3|BIRC5|NFKBIA|CPEB1|AKT1|GSK3B|TPX2|AURKAIP1|GADD45A|AURKA|AURKB|DLGAP5|AJUBA|CDC25B|KPNB1|TDRD7|CENPA|NDEL1|MDM2|RASA1|TP53|TACC1|BRCA1P1|OAZ1|RAN|PRKACA|GIT1|KPNA1|ARHGEF7|PPP2R5D|PAK1|CKAP5,Aurora A signaling,PID,"(Aurora A AND cancer) AND (""systems biology"" OR computational)",(Aurora A AND cancer),55,1608,521,32
NFATC1|TNFSF11|COL11A2|IGLC3|FCGR3A|FCGR3B|IKBKB|PLCG2|MAP2K1|MLVI2|IKBKG|TREM2|MITF|SMARCA4|MAPK14|RAB3IL1|MAP3K8|SPI1|TYROBP|OSCAR|MAP3K7|PTPN6|FHL2|PILRA|PIK3R2|PIK3R1|BTF3P11|MAPK8|MAPK9|PSMC6|FCAR|TRAF1|TRAF2|HSPA8|NFKBIA|TRAF6|NCOA3|MAP2K6|TAB2|ALS3|ABL1|TNFRSF11A|LYN|SQSTM1|BSG|SYK|PSMD14|TAB1|ATP6V1E1|CBL|KIF25|RUNX1|POLE2|SIRPB1|HSP90AA1|MMAB|ATF2,RANKL Signalling Pathway,NetPath,"(RANKL AND cancer) AND (""systems biology"" OR computational)",(RANKL AND cancer),16,1578,501,57
PPP2R1A|DOCK2|RAB7A|AKT1|ARRB2|VTRNA2-1|ARRB1|RAB5A|MTG1|GNAI2|PIK3R6|FGR|PIK3CG|RAB11A|CXCR2|LYN|PLCB1|PLCB2|PLCB3|RAC2|PRKCA|PRKCB|GNB1|PRKCG|DNM1|HCK|VASP|PLD2|PPP2CA|CXCL8|GNA14|GNA15|GNG2|PDPK1|ELMO1,IL8- and CXCR2-mediated signaling events,PID,"((IL8 OR CXCR2) AND cancer) AND (""systems biology"" OR computational)",((IL8 OR CXCR2) AND cancer),37,1567,483,35
GNAO1|HRAS|PLCB2|PELP1|MSN|PLCB3|GNAZ|GNAI2|GNAI3|GNAI1|NCOA3|STRN|PIK3CA|NRAS|HBEGF|GRB2|PIK3R1|GNAS|PLCB1|IGF1R|IGF1|SHC1|MMP9|GNB1|RHOA|BCAR1|KRAS|ESR2|GNAQ|SOS1|AKT1|NANOS3|ESR1|ROCK2|GNA14|GNA15|GNG2|GNA13|GNA11|GNAL|MMP2|MAPK11,Plasma membrane estrogen receptor signaling,PID,"((""estrogen receptor"" AND membrane) AND cancer) AND (""systems biology"" OR computational)","((""estrogen receptor"" AND membrane) AND cancer)",18,1548,625,42
SMAD4|STK11|CAB39|REXO2|MTOR|TSC2|TSC1|RPTOR|SIK1|SIK3|SIK2|PSEN2|YWHAQ|CDC37|MARK4|STK26|YWHAH|AKT1S1|MARK2|YWHAB|MYC|YWHAG|STK11IP|YWHAE|YWHAZ|METAP2|CTSD|SMARCD3|MLST8|ETV4|TP53|BRSK2|BRSK1|ESR1|EZR|GSK3B|CRTC2|PRKACA|MAPT|HSP90AA1|STRADA|STRADB,LKB1 signaling events,PID,"((LKB1 OR STK11) AND cancer) AND (""systems biology"" OR computational)",((LKB1 OR STK11) AND cancer),57,1512,734,42
SPHK2|SPHK1|S1PR5|GNAQ|S1PR3|GNAO1|S1PR1|S1PR2|SGPL1|GNAZ|GNAI3|GNA14|GNA15|GNA12|GNA13|GNA11|S1PR4|GNAI2|ABCC1|SGPP1|GNAI1,Sphingosine 1-phosphate (S1P) pathway,PID,"(sphingosine 1-phosphate AND cancer) AND (""systems biology"" OR computational)",(sphingosine 1-phosphate AND cancer),17,1354,127,21
FYN|HRAS|MAPK8|GAB2|MAPK14|MAP2K2|MAP2K1|MAPK11|STAM|MAPKAPK2|IKZF3|STAT3|STAT1|PIK3CA|STAM2|NRAS|CDK2|DOK2|MAPK3|PTK2B|MAPK1|JAK3|PIK3R1|JAK1|MYC|MAPK9|CISH|SHC1|FOS|IFNG|PRKCB|PRKCE|JUN|RHOA|RASA1|KRAS|IL2RA|IL2RB|SOCS1|SOCS3|SOS1|IL2RG|SYK|PTPN11|SOCS2|IRS1|IRS2|STAT5B|STAT5A|GRB2|IL2|BRAF|LCK|BCL2|ITM2B|CRKL|RPS6KB1|CDX2|HLA-G|HLA-F|FOXO3|RPS6|PTK2B|PIK3R3|GNAQP1|L1CAM|CRK|STAM|ASS1P10|FRA6G|RAB3IL1|STAT3|COL11A2|STAT5B|PIK3CA|STAM2|FYN|STAT5A|PTPN6|ETS2|MAPK3|VIL1|ETS1|TNFRSF8|JAK3|PIK3R1|JAK1|CST2|JAK2|MAPK8|TERT|CDK2|PIK3R2|PLCB1|NR3C1|LYN|SHC1|GRB2|AURKC|SHB|CNGA3|MC5R|IL2RA|IL2RB|SOCS1|SOCS3|SOS1|CNN2|SYK|METTL1|IL2RG|IL15|CBL|MAPK1|GPX3|PRKCZ|IL2|HSP90AA1|NMI|LCK|ATF2,IL2-mediated signaling events,PID,"(IL2 AND cancer) AND (""systems biology"" OR computational)",(IL2 AND cancer),10,1292,1351,121
AKT1|ARRB2|VTRNA2-1|ARRB1|MTG1|GNAI2|GRK2|FGR|PIK3CG|PIK3R6|CXCR1|LYN|PLCB1|PLCB2|PLCB3|RAB5A|PRKCA|GNB1|PRKCB|PRKCE|PRKCG|DNM1|HCK|PLD1|CXCL8|GNA14|GNA15|GNG2|PDPK1,IL8- and CXCR1-mediated signaling events,PID,"((IL8 OR CXCR1) AND cancer) AND (""systems biology"" OR computational)",((IL8 OR CXCR1) AND cancer),31,1273,363,29
RNASE1|GNPTAB|ADAM17|BIRC3|BIRC2|CYCS|NCSTN|IKBKB|AKT1|XIAP|RIPK2|MAPK10|IKBKG|SMPD2|NTF4|PSENEN|BDNF|BEX2|APH1B|APH1A|BCL2L11|LINGO1|PIK3CA|PSEN1|NTRK1|MTG1|IRAK1|RTN4R|PIK3R1|ARHGDIA|MAPK8|FURIN|MYD88|APAF1|YWHAE|PRKCI|NFIC|NTF3|BEX3|APPBP2|TRAF6|NDN|NGFR|PRKACB|CHUK|LAMP5|PRKCZ|RHOA|ZNF274|SEM1|MAGEH1|CASP6|SQSTM1|MAPK9|TP53|CASP3|E2F1|MAGED1|PLGRKT|ACKR1|CASP9|PRDM4|NSMCE3|SORT1|MMP7|MMP3|SHC1|DIABLO,p75(NTR)-mediated signaling,PID,"((p75 OR NTR) AND cancer) AND (""systems biology"" OR computational)",((p75 OR NTR) AND cancer),16,1240,818,68
PPP2R1A|BUB1B|PLK1|GORASP1|FBXO5|PRC1|SPC24|NDC80|RHOA|BORA|TPX2|ECT2|CDK1|KIF2A|ERCC6L|NUDC|CDC25C|GOLGA2|AURKA|WEE1|CLSPN|NINL|PPP1R12A|INCENP|ODF1|BUB1|TPT1|RAB1A|CDC25B|CENPE|ZNF367|CENPU|KIZ|CCNB1|PPP1CB|PPP2CA|SGO1|FZR1|STAG2|ROCK2|CDC20|TUBG1|PTPA|MAD2L1BP|PAK1|KIF20A,PLK1 signaling events,PID,"(PLK1 AND cancer) AND (""systems biology"" OR computational)",(PLK1 AND cancer),60,1191,348,46
SDC1|SDC2|SDC3|SDC4,Proteoglycan syndecan-mediated signaling events,PID,"((proteoglycan AND syndecan) AND cancer) AND (""systems biology"" OR computational)",((proteoglycan AND syndecan) AND cancer),14,1189,14,4
PTK2|CRKL|HRAS|AKT1|CRK|YWHAZ|PIK3CA|RPS6KB1|PXN|PIK3R1|YWHAE|IGF1R|IGF1|SHC1|PRKCD|LAMP5|PRKCZ|PTPN1|BCAR1|RACK1|SOS1|NCK2|GRB10|PTPN11|IRS1|IRS2|GRB2|BRAF|PDPK1|PRKD1,IGF1 pathway,PID,"(IGF1 AND cancer) AND (""systems biology"" OR computational)",(IGF1 AND cancer),34,1148,325,30
EPHA7|EPHA6|EPHA5|EPHA4|EPHA3,EphrinA-EPHA pathway,PID,"(EPHA AND cancer) AND (""systems biology"" OR computational)",(EPHA AND cancer),25,1146,294,5
OBSCN|ARHGEF5|MCF2|CDKN1B|SRGAP1|ARHGEF12|ARHGEF3|ARHGAP8|AKAP13|ARHGAP4|ARHGAP5|ARHGAP6|ARHGEF10L|BCR|ARAP3|ECT2|DEFA6|ARHGEF17|ARHGEF2|OPHN1|ARHGEF1|ARHGDIG|ARHGDIB|ARHGDIA|DLC1|NET1|MYO9B|ARHGEF10|ARHGEF11|TRIO|NGEF|ARHGEF15|FARP1|ARHGEF18|ABR|RAP1GDS1|RHOA|PLEKHG6|ARAP1|VAV1|VAV3|VAV2|MCF2L|ARHGEF28|ARHGAP32|ARHGAP35|ARHGEF25|ARHGAP9,Regulation of RhoA activity,PID,"((RHOA AND regulation) AND cancer) AND (""systems biology"" OR computational)",((RHOA AND regulation) AND cancer),28,1107,877,48
MAPK14|LCK|MAP2K6|MAP2K4|YES1|NCOA3|MAP3K3|FYN|FGR|PRKG1|DUSP8|LYN|RNASE1|TRAF6|CCM2|MAP2K3|MAPK11|BLK|HCK|DUSP16|DUSP10|DUSP12|RIPK1|TAB1|RALB|MAP3K12|RALA|CDC42|PAK1|PAK2|PAK3,Regulation of p38-alpha and p38-beta,PID,"(((p38 alpha OR p38 beta) AND regulation) AND cancer) AND (""systems biology"" OR computational)",(((p38 alpha OR p38 beta) AND regulation) AND cancer),9,1069,271,31
TGFB1|COL11A1|COL11A2|CCL5|SDCBP|COL6A6|COL3A1|COL2A1|CASK|MAPK3|FGF19|MAPK1|PRKACA|BSG|LAMA5|MMP9|COL5A2|COL4A6|COL4A5|COL5A1|COL4A3|COL4A2|COL4A1|HGF|FGFR4|FGFR2|FGFR3|HPSE|COL7A1|SDC1|PPIB|MET|COL4A4|COL1A2|COL1A1|COL6A1|MMP7|COL6A3|COL6A2|COL6A5|FGF23|MMP1,Syndecan-1-mediated signaling events,PID,"(syndecan 1 AND cancer) AND (""systems biology"" OR computational)",(syndecan 1 AND cancer),12,1019,1264,42
RANBP9|SORT1|GK2|GRIA2|DOCK3|NEB|HLA-F|AMPD3|CRTC1|RPS6|PLCG1|SHC2|KCNA3|NCOA2|TRAF6|LINGO1|MAPK3|CDKL5|SHC3|FYN|NSF|NCAM1|TIAM1|CTNNB1|MAPK1|TNFRSF8|PIK3R2|PIK3R1|GLP1R|GRIA3|KSR1|CDH2|PSMC6|DLG1|NTF3|SHC1|SIRPA|SQSTM1|CLK2P1|FRA10C|RPS6KB1|CREB1|RACK1|GIF|LAMP5|CNGA3|STK4|CAMK2B|CXCL11|CXCL10|GABRB3|SH2B2|E2F2|RPS6KA1|RPS6KA3|E2F1|NCK2|CXCL6|PPP2CA|CST2|PTPRF|GPX3|GRB2|EIF4EBP1|DOK5|BDNF-AS|PDPK1|ASS1P4|YBX1|BTK,BDNF Signaling Pathway,NetPath,"(BDNF AND cancer) AND (""systems biology"" OR computational)",(BDNF AND cancer),13,992,886,70
GNAS|GNB1|MTG1|MAPK14|GNG2|MAPK11|GNAL|MAPK8|MAPK9,Rapid glucocorticoid signaling,PID,"(rapid glucocorticoid AND cancer) AND (""systems biology"" OR computational)",(rapid glucocorticoid AND cancer),4,962,70,9
NFATC3|PLK1|ONECUT1|HSPA1B|MAP2K1|CDKN2A|FOXM1|XRCC1|TGFA|SKP2|CACNA1B|CCNE1|CKS1B|RB1|AURKB|CENPF|MYC|CHEK2|BIRC5|BRCA2|LAMA4|FOS|CDC25B|CCNA2|CENPB|CENPA|HIST1H2BA|NEK2|EP300|CCNB2|CCNB1|ETV5|ESR1|CCND1|GSK3A|HSPA1A|CDK1|CDK2|CDK4|GAS1|MMP2|CREBBP|PSG1,FOXM1 transcription factor network,PID,"(FOXM1 AND cancer) AND (""systems biology"" OR computational)",(FOXM1 AND cancer),47,950,527,43
ITCH|WWP1|ADAM17|NCOR1|PTP4A2P1|NEDD4L|PRLR|PIK3CA|PIK3CB|FYN|HBEGF|CBFA2T3|MAPK3|MAPK1|JAK2|PIK3R1|NRG1|NRG3|NRG2|NRG4|ERBB2|SHC1|ERBB4|MDM2|YAP1|LRIG1|LLGL1|TAB2|GRIN2B|STAT5B|STAT5A|GRB2|EREG|BTC|WWOX,ErbB4 signaling events,PID,"(erbb4 AND cancer) AND (""systems biology"" OR computational)",(erbb4 AND cancer),20,925,480,35
HDAC1|TCF7L1|CDKN2B-AS1|HDAC2|CYP27B1|CREBBP|SNIP1|ATF3|CDKN1A|SAP18|KAT2B|KAT2A|SMAD3|FOXO3|AKT1|FOXH1|DCP1A|FOXO4|IFNB1|CTBP1-AS2|SERPINE1|NCOR1|NKX2-5|NCOA2|RUNX2|NCOA1|SAP30|MYOD1|RUNX3|SKI|JUN|GATA3|SMAD4|SMAD2|CBFB|MED15|TFE3|CDK4|MYC|SIN3B|DLX1|SIN3A|CEBPB|NR3C1|IGHA1|ITGB5|RBL1|FOS|GSC|SP3|CREB1|HSPA8|RBBP7|AR|SKIL|LAMC1|SMAD7|ZBTB17|EP300|CITED1|E2F5|E2F4|IRF7|ESR1|IL10|MAX|IL5|HNF4A|FOXO1|FOXG1|RBBP4|MEF2C|PIAS3|CDK2|RUNX1|COL1A2|TFDP1|PIAS4|PSG1|TGIF2|TGIF1|ATF2,Regulation of nuclear SMAD23 signaling,PID,"((SMAD2 AND regulation) AND cancer) AND (""systems biology"" OR computational)",((SMAD2 AND regulation) AND cancer),20,882,787,82
PTCH1|DKK1|GPC3|SHH|MAPK8|MAPK9|FURIN,Glypican 3 network,PID,"(glypican 3 AND cancer) AND (""systems biology"" OR computational)",(glypican 3 AND cancer),7,826,61,7
MMP14|STT3A|CDKN1B|EGFR|MSN|RNPEP|CTNND2|ASS1P10|RHOA|NCOA3|TNFRSF8|ISL1|SHC1|RAB5C|PRKCA|PRKCZ|AP2A1|IDDM15|CCND1|GABRP|PIP5K1C|CDK2|GRB2,RAGE Signaling Pathway,NetPath,"(RAGE AND cancer) AND (""systems biology"" OR computational)",(RAGE AND cancer),10,820,331,23
